hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adults,children,babies,country,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,Room Status,Guest Type
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Michael Ramos,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Mary Olson,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Michael Elliott,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Jennifer Beasley,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,52.2,0,1,Canceled,1/25/2016,Travis Simon,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,52.2,0,3,Canceled,3/1/2016,Michelle Mann,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Randy Wade,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Megan Malone,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Edward Vaughan,Desired Room,Couples
Resort Hotel,1,2016,April,5,2,0,0,PRT,E,E,0,No Deposit,240,,0,Transient,88,0,1,Canceled,2/29/2016,Terri Garcia,Desired Room,Couples
Resort Hotel,1,2016,April,5,1,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,58,0,1,Canceled,2/29/2016,Karen Wilson,Desired Room,Family
Resort Hotel,1,2016,April,5,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,58,0,1,Canceled,2/29/2016,Patrick Perez,Desired Room,Couples
Resort Hotel,1,2016,April,6,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,58,0,1,Canceled,3/22/2016,Erik Strickland,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Kristen Garcia,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Teresa Lewis,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Matthew Evans,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Charles Cox,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Amanda Raymond,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Andrew Lee,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Ashlee York,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Carolyn Terry,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,68,0,0,Canceled,4/1/2016,Brandon Morris,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Patricia Drake,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Andrea Miller,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,John Patterson,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Andrew Gross,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Craig Powell,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,GBR,E,E,0,No Deposit,240,,0,Transient,85,0,0,Canceled,3/16/2016,Douglas Martin,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Sarah Gonzalez,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Sharon Lee,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Leslie Woods,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,64,0,0,Canceled,1/18/2016,Diana Brown,Desired Room,Couples
Resort Hotel,1,2016,April,7,2,0,0,PRT,A,A,0,No Deposit,67,,0,Transient-Party,68,0,0,Canceled,4/1/2016,David Lopez,Desired Room,Couples
Resort Hotel,1,2016,April,7,1,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,56,0,0,Canceled,3/17/2016,Molly Porter,Desired Room,Family
Resort Hotel,1,2016,April,8,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,77,0,0,Canceled,3/15/2016,Jessica Cervantes,Desired Room,Couples
Resort Hotel,1,2016,April,8,1,0,0,PRT,A,A,0,No Deposit,146,,0,Transient-Party,45,0,0,Canceled,4/8/2016,Shawn Hall,Desired Room,Family
Resort Hotel,1,2016,April,8,2,0,0,ESP,A,A,0,No Deposit,240,,0,Transient,71,0,0,Canceled,3/28/2016,Kim Wood,Desired Room,Couples
Resort Hotel,1,2016,April,8,2,0,0,ESP,A,A,0,No Deposit,240,,0,Transient,65,0,0,Canceled,3/28/2016,Nicole Nguyen,Desired Room,Couples
Resort Hotel,1,2016,April,8,2,0,0,DEU,A,A,0,No Deposit,240,,0,Transient,65,0,0,Canceled,3/14/2016,Brandon Perez,Desired Room,Couples
Resort Hotel,1,2016,April,8,3,1,0,PRT,H,H,0,No Deposit,240,,0,Transient,123,0,0,Canceled,3/28/2016,Maria Franklin,Desired Room,Family
Resort Hotel,1,2016,April,9,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,58,0,1,Canceled,2/23/2016,Sydney Barnes,Desired Room,Couples
Resort Hotel,1,2016,April,9,3,1,0,PRT,H,H,0,No Deposit,240,,0,Transient,123,0,0,Canceled,2/23/2016,Deborah Guerrero,Desired Room,Family
Resort Hotel,1,2016,April,9,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,58,0,2,Canceled,2/23/2016,Daniel Brown,Desired Room,Couples
Resort Hotel,1,2016,April,9,1,0,0,PRT,A,A,0,No Deposit,96,,0,Transient-Party,35.1,0,0,Canceled,3/18/2016,Steven Silva,Desired Room,Family
Resort Hotel,1,2016,April,9,1,0,0,PRT,A,A,0,No Deposit,,,0,Transient,56,0,1,Canceled,4/4/2016,John Moore,Desired Room,Family
Resort Hotel,1,2016,April,9,1,0,0,PRT,A,A,0,No Deposit,,,0,Transient,56,0,1,Canceled,4/4/2016,Joseph Reynolds,Desired Room,Family
Resort Hotel,1,2016,April,9,2,0,0,PRT,F,F,0,No Deposit,36,,0,Transient,63.5,0,0,Canceled,3/1/2016,Connor Schmidt,Desired Room,Couples
Resort Hotel,1,2016,April,9,1,0,0,PRT,A,A,0,No Deposit,171,,0,Transient,35.1,0,0,Canceled,3/3/2016,Scott Lee,Desired Room,Family
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Richard Ward,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Jeremy Sims,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Debbie Caldwell,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Nichole Williams,Desired Room,Couples
Resort Hotel,1,2016,April,9,1,0,0,PRT,A,A,1,No Deposit,91,,0,Transient-Party,36,0,0,Canceled,2/27/2016,Amy Cox,Desired Room,Family
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,James Lopez,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Samuel Morrison,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Paula Sanders,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Joshua Wilson,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,David Moore,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Phillip Dalton,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Larry West,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Patricia Mclean,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Dr. Jessica Robinson,Desired Room,Couples
Resort Hotel,1,2016,April,9,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Billy Le,Desired Room,Couples
Resort Hotel,1,2016,April,10,3,0,0,PRT,A,A,0,No Deposit,242,,0,Transient,86.3,0,2,Canceled,2/16/2016,Rachel Miller,Desired Room,Family
Resort Hotel,1,2016,April,10,2,0,0,ESP,D,D,0,No Deposit,240,,0,Transient,107,0,0,Canceled,3/28/2016,Brian Cooke,Desired Room,Couples
Resort Hotel,1,2016,April,10,2,0,0,IRL,E,E,0,No Deposit,250,,0,Transient,72,0,0,Canceled,3/15/2016,Jennifer Bell,Desired Room,Couples
Resort Hotel,1,2016,April,10,2,0,0,IRL,A,A,0,No Deposit,240,,0,Transient,65,0,0,Canceled,3/24/2016,Dale Evans,Desired Room,Couples
Resort Hotel,1,2016,April,10,2,0,0,GBR,D,D,0,No Deposit,273,,0,Transient-Party,68.66,0,0,Canceled,1/14/2016,Sheila Johnson,Desired Room,Couples
Resort Hotel,1,2016,April,10,2,0,0,GBR,D,D,0,No Deposit,273,,0,Transient-Party,68.66,0,0,Canceled,1/14/2016,Tyler Morales,Desired Room,Couples
Resort Hotel,1,2016,April,10,2,0,0,GBR,D,D,0,No Deposit,273,,0,Transient-Party,68.66,0,0,Canceled,1/14/2016,Vanessa Walker,Desired Room,Couples
Resort Hotel,1,2016,April,10,2,0,0,GBR,D,D,0,No Deposit,273,,0,Transient-Party,68.66,0,0,Canceled,1/14/2016,Kimberly Williams DDS,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,90,0,1,Canceled,3/15/2016,Victor Nolan,Desired Room,Couples
Resort Hotel,1,2016,April,11,1,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,79,0,0,Canceled,3/22/2016,Elaine Ortega,Desired Room,Family
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Leslie Martin,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Michelle Griffin,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Whitney Valdez,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Donna Lewis,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Gloria Brown,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Margaret Luna,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Alexander Lewis,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Michael Calderon,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,James Garrett,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Allison Willis,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Amanda Green,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,James Elliott,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Yolanda Black,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Michael Harrison,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Greg Nash,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Amanda Harrison,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,1,PRT,E,E,0,No Deposit,240,,0,Transient,120,0,0,Canceled,2/22/2016,Jerry Blackwell,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,FRA,E,E,0,No Deposit,240,,0,Transient,95,0,1,Canceled,3/16/2016,Glen Bryant,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,IRL,A,A,0,No Deposit,240,,0,Transient,65,0,0,Canceled,3/30/2016,Robert Steele,Desired Room,Couples
Resort Hotel,1,2016,April,11,1,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,49,0,0,Canceled,3/23/2016,Ricky Gallagher,Desired Room,Family
Resort Hotel,1,2016,April,11,1,0,0,GBR,A,A,0,No Deposit,240,,0,Transient,77,0,0,Canceled,3/22/2016,Andrew Williams,Desired Room,Family
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,68,0,0,Canceled,2/29/2016,Leon Harris,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Alyssa Barron,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Richard Long,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Debbie Patel,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Eric Russell,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,A,A,0,Non Refund,273,,0,Transient,67.05,0,0,Canceled,10/16/2015,Elizabeth Taylor,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Alex Villarreal,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Daniel Weber,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Sean Padilla,Desired Room,Couples
Resort Hotel,1,2016,April,11,2,0,0,PRT,D,D,0,Non Refund,273,,0,Transient,76.05,0,0,Canceled,10/16/2015,Arthur Martinez,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Amanda Hernandez,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Jordan Harrison,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Patricia Koch,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Jermaine Wilson,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Jason Smith,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,John Bridges,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Matthew Ortiz,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Kevin Watkins,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Gwendolyn Harris,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Jose Thompson,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Troy Johnson,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Ryan Adams,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Timothy Meadows,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Michael Aguirre,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Dana Bryant,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Cory Stephenson,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Ryan Cole,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Adam Rice,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Donald Brown,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Nicole Gilbert,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Natalie Velez,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,William Wilson,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Megan Johnson,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Jimmy Meyer,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,Non Refund,245,,0,Transient,86,0,0,Canceled,1/5/2016,Lisa Campbell,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,52.2,0,2,Canceled,10/7/2015,Jeremy Stout,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,D,D,0,No Deposit,273,,0,Transient-Party,80,0,0,Canceled,1/25/2016,Mrs. Lindsay Harris,Desired Room,Couples
Resort Hotel,1,2016,April,12,2,0,0,PRT,D,D,0,No Deposit,273,,0,Transient-Party,80,0,0,Canceled,1/29/2016,Joseph Larson,Desired Room,Couples
Resort Hotel,1,2016,April,13,1,0,0,PRT,A,A,0,No Deposit,184,,0,Transient,56,0,1,Canceled,3/10/2016,Mrs. Mary Cole MD,Desired Room,Family
Resort Hotel,1,2016,April,13,1,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,56,0,0,Canceled,4/10/2016,James Phillips,Desired Room,Family
Resort Hotel,1,2016,April,14,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,65,0,0,Canceled,3/18/2016,Robert Curtis,Desired Room,Couples
Resort Hotel,1,2016,April,14,2,0,0,ARE,E,F,0,No Deposit,240,,0,Transient,91,0,1,Canceled,4/13/2016,Karen Kelly,Un-Desired Room,Couples
Resort Hotel,1,2016,April,14,2,0,0,BRA,F,F,2,No Deposit,250,,0,Transient,101,0,0,Canceled,4/11/2016,April Smith,Desired Room,Couples
Resort Hotel,1,2016,April,15,2,0,0,PRT,A,A,0,No Deposit,240,,0,Transient,65,0,0,Canceled,4/6/2016,Michael Erickson,Desired Room,Couples
Resort Hotel,1,2016,April,15,2,0,0,ESP,D,D,2,No Deposit,240,,0,Transient,75,0,0,Canceled,4/7/2016,Jenna Cox,Desired Room,Couples
Resort Hotel,1,2016,April,15,2,0,0,PRT,E,E,0,No Deposit,240,,0,Transient,118,0,2,Canceled,11/10/2015,Tara Rivera,Desired Room,Couples
Resort Hotel,1,2016,April,15,2,0,0,ESP,A,A,0,No Deposit,250,,0,Transient,65,0,0,No-Show,4/15/2016,Lisa Bates,Desired Room,Couples
